1,LaMarcus Aldridge,29,5,5,208,37,112,3,11,32,36,21,35,56,9,2,12,8,16,109,0.33,0.273,0.889,41.7,21.8,11.2,1.8,0.4,2.4,Western 1stRd_15
2,Damian Lillard,24,5,5,201,39,96,5,31,25,32,2,18,20,23,2,3,12,15,108,0.406,0.161,0.781,40.2,21.6,4,4.6,0.4,0.6,Western 1stRd_15
3,C.J. McCollum,23,5,1,166,32,67,11,23,10,13,1,19,20,2,6,1,6,13,85,0.478,0.478,0.769,33.2,17,4,0.4,1.2,0.2,Western 1stRd_15
4,Nicolas Batum,26,5,5,209,24,70,13,39,10,13,6,37,43,26,1,1,12,11,71,0.343,0.333,0.769,41.7,14.2,8.6,5.2,0.2,0.2,Western 1stRd_15
5,Meyers Leonard,22,5,0,106,14,21,10,13,1,2,6,27,33,5,2,2,3,17,39,0.667,0.769,0.5,21.3,7.8,6.6,1,0.4,0.4,Western 1stRd_15
6,Robin Lopez,26,5,5,117,9,15,0,0,8,8,9,13,22,3,1,5,5,15,26,0.6,,1,23.4,5.2,4.4,0.6,0.2,1,Western 1stRd_15
7,Allen Crabbe,22,2,1,39,4,5,2,2,0,0,0,3,3,1,2,1,1,1,10,0.8,1,,19.3,5,1.5,0.5,1,0.5,Western 1stRd_15
8,Chris Kaman,32,3,0,37,4,8,0,0,1,1,5,9,14,3,0,0,3,5,9,0.5,,1,12.4,3,4.7,1,0,0,Western 1stRd_15
9,Steve Blake,34,5,0,43,2,11,1,8,2,2,0,1,1,8,0,1,2,4,7,0.182,0.125,1,8.5,1.4,0.2,1.6,0,0.2,Western 1stRd_15
10,Arron Afflalo,29,3,3,60,2,12,1,4,0,1,0,7,7,2,0,0,3,6,5,0.167,0.25,0,20,1.7,2.3,0.7,0,0,Western 1stRd_15
11,Tim Frazier,24,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1.7,0,0,0,0,0,Western 1stRd_15
12,Joel Freeland,27,2,0,7,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,,,3.7,0,0.5,0,0.5,0,Western 1stRd_15
13,Alonzo Gee,27,1,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,,,3,0,1,1,0,0,Western 1stRd_15
