1,Isaiah Thomas,25,4,0,119,18,54,3,18,31,32,1,11,12,28,3,0,14,10,70,0.333,0.167,0.969,29.8,17.5,3,7,0.8,0,East 1stRd_15
2,Avery Bradley,24,4,4,133,19,50,5,19,6,7,3,12,15,3,3,0,3,13,49,0.38,0.263,0.857,33.3,12.3,3.8,0.8,0.8,0,East 1stRd_15
3,Jared Sullinger,22,4,0,80,21,38,3,9,4,7,9,19,28,1,0,3,5,12,49,0.553,0.333,0.571,20.1,12.3,7,0.3,0,0.8,East 1stRd_15
4,Jae Crowder,24,4,1,100,15,29,3,10,10,13,8,12,20,8,4,3,5,14,43,0.517,0.3,0.769,25.1,10.8,5,2,1,0.8,East 1stRd_15
5,Evan Turner,26,4,4,118,16,44,2,4,8,9,2,27,29,19,3,0,9,11,42,0.364,0.5,0.889,29.5,10.5,7.3,4.8,0.8,0,East 1stRd_15
6,Marcus Smart,20,4,3,90,14,29,3,13,8,15,5,6,11,5,1,1,4,12,39,0.483,0.231,0.533,22.5,9.8,2.8,1.3,0.3,0.3,East 1stRd_15
7,Tyler Zeller,25,4,4,90,15,29,0,0,4,5,2,16,18,2,2,1,4,5,34,0.517,,0.8,22.4,8.5,4.5,0.5,0.5,0.3,East 1stRd_15
8,Brandon Bass,29,4,4,86,7,20,0,0,6,10,3,5,8,10,1,3,3,4,20,0.35,,0.6,21.5,5,2,2.5,0.3,0.8,East 1stRd_15
9,Kelly Olynyk,23,4,0,53,7,13,3,6,1,2,2,3,5,2,2,2,4,12,18,0.538,0.5,0.5,13.3,4.5,1.3,0.5,0.5,0.5,East 1stRd_15
10,Jonas Jerebko,27,4,0,68,5,15,0,4,1,2,4,10,14,1,2,1,3,9,11,0.333,0,0.5,17,2.8,3.5,0.3,0.5,0.3,East 1stRd_15
11,Luigi Datome,27,3,0,14,2,6,0,2,0,0,0,1,1,1,0,0,0,4,4,0.333,0,,4.6,1.3,0.3,0.3,0,0,East 1stRd_15
12,Phil Pressey,23,2,0,5,0,3,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,,2.5,0,0.5,0,0,0.5,East 1stRd_15
13,Gerald Wallace,32,1,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,3.7,0,1,0,0,0,East 1stRd_15
