1,Derrick Rose,26,6,6,234,52,135,8,26,18,20,8,24,32,39,5,3,12,11,130,0.385,0.308,0.9,38.9,21.7,5.3,6.5,0.8,0.5,East Semi_15
2,Jimmy Butler,25,6,6,254,44,108,13,35,25,29,10,24,34,15,14,4,7,18,126,0.407,0.371,0.862,42.3,21,5.7,2.5,2.3,0.7,East Semi_15
3,Mike Dunleavy,34,6,6,208,23,48,10,25,12,13,4,20,24,13,6,4,7,14,68,0.479,0.4,0.923,34.6,11.3,4,2.2,1,0.7,East Semi_15
4,Pau Gasol,34,4,4,109,19,39,0,0,8,9,6,17,23,9,2,7,5,5,46,0.487,,0.889,27.2,11.5,5.8,2.3,0.5,1.8,East Semi_15
5,Taj Gibson,29,6,2,146,18,36,0,0,10,14,11,20,31,4,1,5,2,15,46,0.5,,0.714,24.4,7.7,5.2,0.7,0.2,0.8,East Semi_15
6,Nikola Mirotic,23,6,0,81,11,36,3,14,15,18,5,10,15,1,3,4,4,15,40,0.306,0.214,0.833,13.6,6.7,2.5,0.2,0.5,0.7,East Semi_15
7,Joakim Noah,29,6,6,194,12,36,0,0,6,10,25,37,62,12,3,8,11,18,30,0.333,,0.6,32.3,5,10.3,2,0.5,1.3,East Semi_15
8,Aaron Brooks,30,6,0,62,9,31,1,12,2,2,1,8,9,5,2,0,3,3,21,0.29,0.083,1,10.4,3.5,1.5,0.8,0.3,0,East Semi_15
9,Kirk Hinrich,34,6,0,97,7,12,5,7,2,3,0,4,4,8,2,1,1,12,21,0.583,0.714,0.667,16.1,3.5,0.7,1.3,0.3,0.2,East Semi_15
10,Tony Snell,23,5,0,42,5,15,3,7,2,2,0,6,6,2,0,1,0,2,15,0.333,0.429,1,8.3,3,1.2,0.4,0,0.2,East Semi_15
11,Nazr Mohammed,37,2,0,7,1,4,0,1,0,0,2,2,4,0,0,0,0,0,2,0.25,0,,3.4,1,2,0,0,0,East Semi_15
12,E'Twaun Moore,25,2,0,4,1,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0.25,,,2.1,1,0,0,1,0,East Semi_15
13,Doug McDermott,23,2,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,,,1.7,0,0.5,0.5,0,0,East Semi_15
