1,LeBron James,30,4,4,172,42,90,4,20,20,27,2,34,36,26,9,6,19,8,108,0.467,0.2,0.741,43,27,9,6.5,2.3,1.5,East 1stRd_15
2,Kyrie Irving,22,4,4,162,30,69,12,25,21,26,5,15,20,17,4,4,5,13,93,0.435,0.48,0.808,40.6,23.3,5,4.3,1,1,East 1stRd_15
3,Kevin Love,26,4,4,107,17,41,9,21,14,19,6,22,28,10,1,2,6,12,57,0.415,0.429,0.737,26.7,14.3,7,2.5,0.3,0.5,East 1stRd_15
4,Timofey Mozgov,28,4,4,98,14,26,0,0,11,12,12,20,32,0,1,12,9,15,39,0.538,,0.917,24.5,9.8,8,0,0.3,3,East 1stRd_15
5,J.R. Smith,29,4,4,107,15,41,8,30,1,2,3,10,13,4,9,0,2,13,39,0.366,0.267,0.5,26.8,9.8,3.3,1,2.3,0,East 1stRd_15
6,Tristan Thompson,23,4,0,102,9,14,0,0,11,18,15,12,27,3,1,2,2,9,29,0.643,,0.611,25.4,7.3,6.8,0.8,0.3,0.5,East 1stRd_15
7,Iman Shumpert,24,4,0,116,7,15,2,8,12,12,4,18,22,2,4,4,1,10,28,0.467,0.25,1,29,7,5.5,0.5,1,1,East 1stRd_15
8,Matthew Dellavedova,24,4,0,43,3,11,2,7,2,4,0,4,4,5,0,0,3,7,10,0.273,0.286,0.5,10.7,2.5,1,1.3,0,0,East 1stRd_15
9,James Jones,34,4,0,46,3,13,2,11,2,2,0,5,5,0,0,1,0,5,10,0.231,0.182,1,11.5,2.5,1.3,0,0,0.3,East 1stRd_15
10,Kendrick Perkins,30,2,0,6,0,0,0,0,3,4,1,0,1,0,0,0,2,1,3,,,0.75,3.1,1.5,0.5,0,0,0,East 1stRd_15
11,Shawn Marion,36,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,0.9,0,0,0,2,0,East 1stRd_15
