1,LeBron James,30,6,6,245,61,153,3,28,32,40,14,52,66,53,10,10,27,21,157,0.399,0.107,0.8,40.8,26.2,11,8.8,1.7,1.7,East Semi_15
2,Kyrie Irving,22,6,6,209,31,73,9,21,34,38,1,12,13,16,8,4,11,9,105,0.425,0.429,0.895,34.8,17.5,2.2,2.7,1.3,0.7,East Semi_15
3,Iman Shumpert,24,6,6,217,28,69,14,39,6,8,9,18,27,10,8,6,1,10,76,0.406,0.359,0.75,36.2,12.7,4.5,1.7,1.3,1,East Semi_15
4,Tristan Thompson,23,6,5,222,21,39,0,0,14,17,24,43,67,2,0,9,3,14,56,0.538,,0.824,37,9.3,11.2,0.3,0,1.5,East Semi_15
5,J.R. Smith,29,4,0,116,18,36,12,27,3,3,2,14,16,4,2,2,4,11,51,0.5,0.444,1,29.1,12.8,4,1,0.5,0.5,East Semi_15
6,Matthew Dellavedova,24,6,0,140,17,32,9,21,7,8,1,7,8,22,0,0,9,16,50,0.531,0.429,0.875,23.3,8.3,1.3,3.7,0,0,East Semi_15
7,Timofey Mozgov,28,6,6,154,16,43,0,0,14,18,14,25,39,6,3,10,7,18,46,0.372,,0.778,25.7,7.7,6.5,1,0.5,1.7,East Semi_15
8,James Jones,34,6,0,72,11,25,10,24,2,2,0,9,9,1,1,0,1,12,34,0.44,0.417,1,12,5.7,1.5,0.2,0.2,0,East Semi_15
9,Mike Miller,34,3,1,31,1,2,1,2,0,0,0,9,9,0,0,1,0,2,3,0.5,0.5,,10.5,1,3,0,0,0.3,East Semi_15
10,Kendrick Perkins,30,4,0,18,1,4,0,0,0,2,1,4,5,0,0,3,1,3,2,0.25,,0,4.5,0.5,1.3,0,0,0.8,East Semi_15
11,Joe Harris,23,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,2.1,0,0,0,0,0,East Semi_15
12,Shawn Marion,36,2,0,11,0,2,0,0,0,0,1,1,2,0,0,0,0,1,0,0,,,5.5,0,1,0,0,0,East Semi_15
