1,Blake Griffin,25,7,7,288,64,137,0,3,41,54,19,73,92,52,10,10,19,18,169,0.467,0,0.759,41.1,24.1,13.1,7.4,1.4,1.4,West 1stRd_15
2,Chris Paul,29,7,7,275,58,113,15,35,28,29,2,30,32,55,14,3,16,22,159,0.513,0.429,0.966,39.3,22.7,4.6,7.9,2,0.4,West 1stRd_15
3,J.J. Redick,30,7,7,274,34,77,15,36,13,15,0,16,16,9,7,1,12,18,96,0.442,0.417,0.867,39.1,13.7,2.3,1.3,1,0.1,West 1stRd_15
4,DeAndre Jordan,26,7,7,252,30,42,0,0,28,73,23,70,93,4,2,18,10,16,88,0.714,,0.384,36.1,12.6,13.3,0.6,0.3,2.6,West 1stRd_15
5,Jamal Crawford,34,7,0,181,33,86,6,30,10,10,0,11,11,12,1,1,7,12,82,0.384,0.2,1,25.8,11.7,1.6,1.7,0.1,0.1,West 1stRd_15
6,Matt Barnes,34,7,7,197,20,49,10,29,3,7,11,24,35,6,12,5,8,25,53,0.408,0.345,0.429,28.2,7.6,5,0.9,1.7,0.7,West 1stRd_15
7,Austin Rivers,22,7,0,99,16,39,2,7,4,8,4,4,8,5,2,0,2,8,38,0.41,0.286,0.5,14.2,5.4,1.1,0.7,0.3,0,West 1stRd_15
8,Glen Davis,29,7,0,85,11,23,0,1,3,5,6,14,20,2,2,4,7,20,25,0.478,0,0.6,12.2,3.6,2.9,0.3,0.3,0.6,West 1stRd_15
9,Lester Hudson,30,1,0,8,2,3,1,2,0,0,0,1,1,2,0,0,0,1,5,0.667,0.5,,7.9,5,1,2,0,0,West 1stRd_15
10,Spencer Hawes,26,3,0,11,1,6,0,1,0,0,0,2,2,0,0,1,0,1,2,0.167,0,,3.6,0.7,0.7,0,0,0.3,West 1stRd_15
11,Dahntay Jones,34,5,0,6,1,1,0,0,0,0,0,0,0,0,1,0,0,3,2,1,,,1.2,0.4,0,0,0.2,0,West 1stRd_15
12,Hedo Turkoglu,35,6,0,24,1,5,0,3,0,0,1,3,4,0,1,0,0,2,2,0.2,0,,4,0.3,0.7,0,0.2,0,West 1stRd_15
13,Ekpe Udoh,27,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4.8,0,0,0,0,0,West 1stRd_15
