1,Blake Griffin,25,7,7,269,76,137,1,4,35,52,19,67,86,34,4,4,26,25,188,0.555,0.25,0.673,38.5,26.9,12.3,4.9,0.6,0.6,West Semi_15
2,J.J. Redick,30,7,7,266,36,84,20,52,20,20,0,14,14,15,3,4,14,18,112,0.429,0.385,1,38.1,16,2,2.1,0.4,0.6,West Semi_15
3,Chris Paul,29,5,5,170,37,76,12,30,20,22,5,16,21,50,8,0,10,15,106,0.487,0.4,0.909,34,21.2,4.2,10,1.6,0,West Semi_15
4,Jamal Crawford,34,7,0,199,34,100,12,44,16,20,6,13,19,15,12,2,10,22,96,0.34,0.273,0.8,28.4,13.7,2.7,2.1,1.7,0.3,West Semi_15
5,DeAndre Jordan,26,7,7,230,28,39,0,0,39,84,26,68,94,12,14,15,7,26,95,0.718,,0.464,32.9,13.6,13.4,1.7,2,2.1,West Semi_15
6,Austin Rivers,22,7,2,151,30,66,11,28,8,11,2,14,16,11,8,4,10,20,79,0.455,0.393,0.727,21.5,11.3,2.3,1.6,1.1,0.6,West Semi_15
7,Matt Barnes,34,7,7,211,18,51,6,31,12,13,5,31,36,16,8,5,8,29,54,0.353,0.194,0.923,30.2,7.7,5.1,2.3,1.1,0.7,West Semi_15
8,Spencer Hawes,26,5,0,46,8,11,3,5,2,2,3,8,11,5,2,2,1,11,21,0.727,0.6,1,9.2,4.2,2.2,1,0.4,0.4,West Semi_15
9,Glen Davis,29,7,0,58,6,15,0,0,4,4,3,4,7,1,3,1,2,13,16,0.4,,1,8.3,2.3,1,0.1,0.4,0.1,West Semi_15
10,Lester Hudson,30,6,0,30,4,11,1,5,0,0,0,0,0,5,2,1,3,7,9,0.364,0.2,,5,1.5,0,0.8,0.3,0.2,West Semi_15
11,Hedo Turkoglu,35,5,0,30,3,12,2,10,0,0,0,3,3,4,3,1,2,8,8,0.25,0.2,,6.1,1.6,0.6,0.8,0.6,0.2,West Semi_15
12,Dahntay Jones,34,6,0,12,1,1,0,0,0,0,0,1,1,0,1,0,0,4,2,1,,,2,0.3,0.2,0,0.2,0,West Semi_15
13,Ekpe Udoh,27,3,0,7,1,3,0,0,0,0,0,3,3,0,0,0,0,3,2,0.333,,,2.4,0.7,1,0,0,0,West Semi_15
