1,Marc Gasol,30,6,6,224,38,101,0,1,39,46,13,54,67,24,8,7,10,21,115,0.376,0,0.848,37.3,19.2,11.2,4,1.3,1.2,West Semi_15
2,Zach Randolph,33,6,6,206,41,82,1,2,19,21,19,32,51,14,4,0,15,19,102,0.5,0.5,0.905,34.4,17,8.5,2.3,0.7,0,West Semi_15
3,Mike Conley,27,5,5,164,23,60,7,25,14,18,0,4,4,29,8,0,8,9,67,0.383,0.28,0.778,32.8,13.4,0.8,5.8,1.6,0,West Semi_15
4,Courtney Lee,29,6,6,199,24,53,8,19,4,4,2,13,15,17,6,0,9,13,60,0.453,0.421,1,33.2,10,2.5,2.8,1,0,West Semi_15
5,Jeff Green,28,6,1,172,22,56,2,11,6,8,6,18,24,11,3,1,11,8,52,0.393,0.182,0.75,28.6,8.7,4,1.8,0.5,0.2,West Semi_15
6,Vince Carter,38,6,0,120,16,42,4,17,6,7,8,23,31,8,5,0,7,12,42,0.381,0.235,0.857,20,7,5.2,1.3,0.8,0,West Semi_15
7,Tony Allen,33,5,5,129,17,38,0,4,4,5,7,11,18,7,12,3,9,12,38,0.447,0,0.8,25.8,7.6,3.6,1.4,2.4,0.6,West Semi_15
8,Beno Udrih,32,6,0,93,12,34,2,9,3,4,0,8,8,9,5,0,3,9,29,0.353,0.222,0.75,15.5,4.8,1.3,1.5,0.8,0,West Semi_15
9,Kosta Koufos,25,6,0,65,10,19,0,0,1,2,11,13,24,3,2,2,1,5,21,0.526,,0.5,10.8,3.5,4,0.5,0.3,0.3,West Semi_15
10,Jordan Adams,20,3,0,8,2,3,1,1,2,4,0,1,1,0,0,0,0,0,7,0.667,1,0.5,2.8,2.3,0.3,0,0,0,West Semi_15
11,Jon Leuer,25,2,0,6,2,4,0,0,0,0,2,2,4,0,0,0,0,0,4,0.5,,,2.9,2,2,0,0,0,West Semi_15
12,JaMychal Green,24,4,0,7,0,2,0,1,2,2,0,3,3,0,1,1,0,1,2,0,0,1,1.7,0.5,0.8,0,0.3,0.3,West Semi_15
13,Nick Calathes,25,4,1,43,0,6,0,2,0,2,0,5,5,6,5,0,4,4,0,0,0,0,10.8,0,1.3,1.5,1.3,0,West Semi_15
14,Russ Smith,23,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,1.7,0,0,1,0,0,West Semi_15
