1,DeMarre Carroll,28,6,6,210,38,70,14,30,15,18,12,31,43,17,5,1,7,18,105,0.543,0.467,0.833,35.1,17.5,7.2,2.8,0.8,0.2,East 1stRd_15
2,Paul Millsap,29,6,6,221,36,80,10,21,12,20,13,45,58,20,13,7,7,17,94,0.45,0.476,0.6,36.8,15.7,9.7,3.3,2.2,1.2,East 1stRd_15
3,Kyle Korver,33,6,6,229,30,69,23,58,10,12,0,36,36,18,10,6,5,6,93,0.435,0.397,0.833,38.2,15.5,6,3,1.7,1,East 1stRd_15
4,Al Horford,28,6,6,198,40,83,0,4,6,8,15,45,60,23,6,7,12,15,86,0.482,0,0.75,33,14.3,10,3.8,1,1.2,East 1stRd_15
5,Jeff Teague,26,6,6,189,30,76,7,21,18,23,2,12,14,47,12,1,19,12,85,0.395,0.333,0.783,31.6,14.2,2.3,7.8,2,0.2,East 1stRd_15
6,Dennis Schroder,21,6,0,112,23,55,2,12,8,9,0,3,3,20,3,0,16,7,56,0.418,0.167,0.889,18.7,9.3,0.5,3.3,0.5,0,East 1stRd_15
7,Pero Antic,32,6,0,95,10,24,7,15,10,12,5,13,18,2,1,2,2,16,37,0.417,0.467,0.833,15.9,6.2,3,0.3,0.2,0.3,East 1stRd_15
8,Mike Scott,26,6,0,66,10,25,2,9,2,2,8,10,18,0,2,0,2,5,24,0.4,0.222,1,10.9,4,3,0,0.3,0,East 1stRd_15
9,Kent Bazemore,25,6,0,106,8,26,1,13,3,4,3,16,19,3,3,3,3,10,20,0.308,0.077,0.75,17.7,3.3,3.2,0.5,0.5,0.5,East 1stRd_15
10,Shelvin Mack,24,5,0,24,3,9,1,4,0,0,1,1,2,4,4,0,0,2,7,0.333,0.25,,4.9,1.4,0.4,0.8,0.8,0,East 1stRd_15
11,Mike Muscala,23,1,0,6,2,3,0,1,0,0,1,1,2,0,1,1,2,1,4,0.667,0,,5.9,4,2,0,1,1,East 1stRd_15
12,Elton Brand,35,2,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,,,1.9,0,0.5,0,0,0,East 1stRd_15
13,John Jenkins,23,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.6,0,0,0,0,0,East 1stRd_15
