1,Jeff Teague,26,4,4,140,33,76,7,25,13,13,0,13,13,18,5,4,7,9,86,0.434,0.28,1,35,21.5,3.3,4.5,1.3,1,East Conference_15
2,Paul Millsap,29,4,4,141,15,43,1,9,24,29,8,23,31,10,3,1,7,15,55,0.349,0.111,0.828,35.4,13.8,7.8,2.5,0.8,0.3,East Conference_15
3,Al Horford,28,4,4,116,21,36,0,1,2,4,5,14,19,10,1,2,2,7,44,0.583,0,0.5,29,11,4.8,2.5,0.3,0.5,East Conference_15
4,Kent Bazemore,25,4,2,106,14,29,2,9,13,19,0,21,21,6,4,2,4,7,43,0.483,0.222,0.684,26.4,10.8,5.3,1.5,1,0.5,East Conference_15
5,Shelvin Mack,24,3,0,66,11,28,5,16,3,6,1,8,9,5,3,0,1,4,30,0.393,0.313,0.5,21.8,10,3,1.7,1,0,East Conference_15
6,DeMarre Carroll,28,4,4,136,11,34,4,15,2,4,4,11,15,6,5,2,2,11,28,0.324,0.267,0.5,34,7,3.8,1.5,1.3,0.5,East Conference_15
7,Dennis Schroder,21,4,0,53,10,30,1,8,2,2,1,6,7,10,1,0,3,7,23,0.333,0.125,1,13.3,5.8,1.8,2.5,0.3,0,East Conference_15
8,Kyle Korver,33,2,2,68,7,16,4,10,3,3,0,8,8,4,1,0,3,5,21,0.438,0.4,1,34.2,10.5,4,2,0.5,0,East Conference_15
9,Mike Scott,26,3,0,82,7,20,0,12,2,2,6,14,20,5,2,0,5,9,16,0.35,0,1,27.4,5.3,6.7,1.7,0.7,0,East Conference_15
10,Mike Muscala,23,4,0,37,6,10,0,1,0,0,1,2,3,1,0,1,1,2,12,0.6,0,,9.2,3,0.8,0.3,0,0.3,East Conference_15
11,John Jenkins,23,2,0,17,4,5,2,3,0,0,1,2,3,0,0,0,0,2,10,0.8,0.667,,8.4,5,1.5,0,0,0,East Conference_15
12,Pero Antic,32,3,0,23,0,2,0,2,1,2,0,8,8,1,1,0,2,6,1,0,0,0.5,7.7,0.3,2.7,0.3,0.3,0,East Conference_15
13,Elton Brand,35,1,0,,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,,,0.5,,1,0,0,0,0,East Conference_15
