1,Brook Lopez,26,6,6,234,43,87,0,0,33,40,20,34,54,5,4,13,6,18,119,0.494,,0.825,38.9,19.8,9,0.8,0.7,2.2,East 1stRd_15
2,Joe Johnson,33,6,6,249,34,94,12,41,19,24,5,41,46,29,7,0,5,16,99,0.362,0.293,0.792,41.6,16.5,7.7,4.8,1.2,0,East 1stRd_15
3,Jarrett Jack,31,6,0,153,28,54,5,15,13,13,2,23,25,27,7,1,20,14,74,0.519,0.333,1,25.5,12.3,4.2,4.5,1.2,0.2,East 1stRd_15
4,Deron Williams,30,6,6,192,27,69,11,26,6,7,3,34,37,33,8,0,16,18,71,0.391,0.423,0.857,32,11.8,6.2,5.5,1.3,0,East 1stRd_15
5,Alan Anderson,32,6,0,142,25,41,10,16,6,9,2,19,21,7,4,1,8,9,66,0.61,0.625,0.667,23.6,11,3.5,1.2,0.7,0.2,East 1stRd_15
6,Thaddeus Young,26,6,6,190,29,66,0,4,5,12,17,26,43,16,5,1,14,15,63,0.439,0,0.417,31.7,10.5,7.2,2.7,0.8,0.2,East 1stRd_15
7,Bojan Bogdanovic,25,6,5,206,23,59,11,33,5,7,3,20,23,10,4,2,8,12,62,0.39,0.333,0.714,34.4,10.3,3.8,1.7,0.7,0.3,East 1stRd_15
8,Mason Plumlee,24,6,0,49,4,6,0,0,4,11,2,6,8,2,4,2,3,10,12,0.667,,0.364,8.2,2,1.3,0.3,0.7,0.3,East 1stRd_15
9,Markel Brown,23,2,1,10,2,5,0,2,2,2,2,0,2,1,0,0,2,0,6,0.4,0,1,5.1,3,1,0.5,0,0,East 1stRd_15
10,Earl Clark,27,2,0,13,2,10,2,3,0,0,0,2,2,0,1,0,0,1,6,0.2,0.667,,6.5,3,1,0,0.5,0,East 1stRd_15
11,Jerome Jordan,28,1,0,5,0,2,0,0,0,0,1,1,2,0,0,0,1,0,0,0,,,4.7,0,2,0,0,0,East 1stRd_15
12,Darius Morris,24,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4.7,0,0,0,0,0,East 1stRd_15
13,Mirza Teletovic,29,3,0,16,0,5,0,4,0,0,0,4,4,0,1,0,1,1,0,0,0,,5.5,0,1.3,0,0.3,0,East 1stRd_15
