1,James Harden,25,5,5,180,40,86,12,31,50,52,2,17,19,39,6,1,19,15,142,0.465,0.387,0.962,36.1,28.4,3.8,7.8,1.2,0.2,West 1stRd_15
2,Josh Smith,29,5,0,128,34,66,9,23,10,23,11,21,32,19,4,4,15,16,87,0.515,0.391,0.435,25.6,17.4,6.4,3.8,0.8,0.8,West 1stRd_15
3,Dwight Howard,29,5,5,163,32,55,0,0,19,41,19,50,69,6,8,15,12,19,83,0.582,,0.463,32.6,16.6,13.8,1.2,1.6,3,West 1stRd_15
4,Corey Brewer,28,5,0,129,29,56,8,15,6,9,3,13,16,4,2,1,6,14,72,0.518,0.533,0.667,25.8,14.4,3.2,0.8,0.4,0.2,West 1stRd_15
5,Terrence Jones,23,5,5,127,22,53,1,7,19,29,11,21,32,7,3,0,3,10,64,0.415,0.143,0.655,25.4,12.8,6.4,1.4,0.6,0,West 1stRd_15
6,Trevor Ariza,29,5,5,183,13,45,5,22,10,12,5,28,33,15,5,0,5,15,41,0.289,0.227,0.833,36.7,8.2,6.6,3,1,0,West 1stRd_15
7,Jason Terry,37,5,5,124,14,30,8,17,3,5,1,7,8,11,5,1,4,11,39,0.467,0.471,0.6,24.7,7.8,1.6,2.2,1,0.2,West 1stRd_15
8,Clint Capela,20,5,0,44,9,14,0,0,8,13,2,10,12,2,0,4,2,8,26,0.643,,0.615,8.8,5.2,2.4,0.4,0,0.8,West 1stRd_15
9,Pablo Prigioni,37,5,0,107,7,21,3,14,0,0,2,4,6,12,6,0,3,13,17,0.333,0.214,,21.3,3.4,1.2,2.4,1.2,0,West 1stRd_15
10,Joey Dorsey,31,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,1,0,0,0.3,0,0,West 1stRd_15
11,Nick Johnson,22,3,0,9,0,3,0,2,0,0,0,3,3,1,0,0,0,1,0,0,0,,3.1,0,1,0.3,0,0,West 1stRd_15
12,Kostas Papanikolaou,24,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0,0,0,0,West 1stRd_15
