1,James Harden,25,5,5,199,42,90,12,28,46,53,7,32,39,32,12,3,23,13,142,0.467,0.429,0.868,39.7,28.4,7.8,6.4,2.4,0.6,West Confererence_15
2,Josh Smith,29,5,5,125,27,69,10,25,10,24,3,23,26,17,1,7,14,8,74,0.391,0.4,0.417,25,14.8,5.2,3.4,0.2,1.4,West Confererence_15
3,Dwight Howard,29,5,5,176,28,51,0,0,16,39,17,55,72,4,7,9,16,15,72,0.549,,0.41,35.1,14.4,14.4,0.8,1.4,1.8,West Confererence_15
4,Trevor Ariza,29,5,5,198,23,45,10,23,10,10,8,20,28,12,10,1,5,15,66,0.511,0.435,1,39.6,13.2,5.6,2.4,2,0.2,West Confererence_15
5,Jason Terry,37,5,5,156,17,45,8,27,4,4,3,8,11,17,3,0,5,16,46,0.378,0.296,1,31.3,9.2,2.2,3.4,0.6,0,West Confererence_15
6,Corey Brewer,28,5,0,122,14,41,0,8,14,20,1,6,7,5,4,1,2,12,42,0.341,0,0.7,24.4,8.4,1.4,1,0.8,0.2,West Confererence_15
7,Terrence Jones,23,5,0,112,16,42,1,6,4,7,6,11,17,4,2,7,5,6,37,0.381,0.167,0.571,22.5,7.4,3.4,0.8,0.4,1.4,West Confererence_15
8,Clint Capela,20,5,0,36,5,5,0,0,4,8,3,6,9,1,3,2,0,2,14,1,,0.5,7.1,2.8,1.8,0.2,0.6,0.4,West Confererence_15
9,Pablo Prigioni,37,5,0,54,3,9,1,6,0,0,0,1,1,8,3,0,3,7,7,0.333,0.167,,10.9,1.4,0.2,1.6,0.6,0,West Confererence_15
10,Nick Johnson,22,2,0,19,1,6,0,3,0,0,0,0,0,0,0,1,2,4,2,0.167,0,,9.3,1,0,0,0,0.5,West Confererence_15
11,Kostas Papanikolaou,24,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,3.5,0,0,0,0,0,West Confererence_15
