1,James Harden,25,7,7,257,47,118,17,48,67,73,3,36,39,57,10,3,35,21,178,0.398,0.354,0.918,36.7,25.4,5.6,8.1,1.4,0.4,West Semi_15
2,Dwight Howard,29,7,7,236,45,76,0,0,33,85,26,71,97,10,8,15,9,26,123,0.592,,0.388,33.7,17.6,13.9,1.4,1.1,2.1,West Semi_15
3,Trevor Ariza,29,7,7,274,39,86,21,51,18,20,5,43,48,17,15,1,13,21,117,0.453,0.412,0.9,39.1,16.7,6.9,2.4,2.1,0.1,West Semi_15
4,Corey Brewer,28,7,0,177,29,70,4,19,15,26,7,17,24,10,5,2,7,22,77,0.414,0.211,0.577,25.3,11,3.4,1.4,0.7,0.3,West Semi_15
5,Terrence Jones,23,7,4,161,29,64,1,6,13,18,12,20,32,6,3,5,8,15,72,0.453,0.167,0.722,23,10.3,4.6,0.9,0.4,0.7,West Semi_15
6,Jason Terry,37,7,7,207,26,59,13,38,6,7,2,17,19,20,7,1,11,19,71,0.441,0.342,0.857,29.6,10.1,2.7,2.9,1,0.1,West Semi_15
7,Josh Smith,29,7,3,143,24,59,8,23,12,27,12,26,38,10,4,6,9,17,68,0.407,0.348,0.444,20.4,9.7,5.4,1.4,0.6,0.9,West Semi_15
8,Pablo Prigioni,37,7,0,132,9,27,8,21,3,4,4,8,12,19,6,0,6,20,29,0.333,0.381,0.75,18.9,4.1,1.7,2.7,0.9,0,West Semi_15
9,Clint Capela,20,7,0,47,7,12,0,0,3,8,8,13,21,2,0,3,1,9,17,0.583,,0.375,6.8,2.4,3,0.3,0,0.4,West Semi_15
10,Nick Johnson,22,4,0,21,3,8,1,2,3,3,1,0,1,3,0,0,2,2,10,0.375,0.5,1,5.3,2.5,0.3,0.8,0,0,West Semi_15
11,Kostas Papanikolaou,24,4,0,15,1,4,0,3,1,2,0,2,2,0,0,0,4,4,3,0.25,0,0.5,3.6,0.8,0.5,0,0,0,West Semi_15
12,Joey Dorsey,31,3,0,11,0,2,0,0,1,2,1,3,4,1,0,0,1,1,1,0,,0.5,3.5,0.3,1.3,0.3,0,0,West Semi_15
