1,Kawhi Leonard,23,7,7,250,52,109,11,26,27,35,13,39,52,18,8,4,15,18,142,0.477,0.423,0.771,35.8,20.3,7.4,2.6,1.1,0.6,West 1stRd_15
2,Tim Duncan,38,7,7,250,53,90,0,1,19,34,19,59,78,23,9,10,7,26,125,0.589,0,0.559,35.7,17.9,11.1,3.3,1.3,1.4,West 1stRd_15
3,Boris Diaw,32,7,0,198,34,71,4,18,9,13,13,30,43,25,5,3,9,24,81,0.479,0.222,0.692,28.3,11.6,6.1,3.6,0.7,0.4,West 1stRd_15
4,Tony Parker,32,7,7,210,33,91,0,9,10,17,4,19,23,25,2,0,11,14,76,0.363,0,0.588,30,10.9,3.3,3.6,0.3,0,West 1stRd_15
5,Patrick Mills,26,7,0,112,21,42,16,28,13,13,4,15,19,8,2,0,5,15,71,0.5,0.571,1,16,10.1,2.7,1.1,0.3,0,West 1stRd_15
6,Marco Belinelli,28,7,0,116,20,39,14,30,11,13,2,11,13,10,2,0,5,10,65,0.513,0.467,0.846,16.6,9.3,1.9,1.4,0.3,0,West 1stRd_15
7,Danny Green,27,7,7,204,21,61,12,40,4,6,7,15,22,15,7,7,5,12,58,0.344,0.3,0.667,29.1,8.3,3.1,2.1,1,1,West 1stRd_15
8,Manu Ginobili,37,7,0,131,15,43,8,22,18,23,4,20,24,32,4,6,14,19,56,0.349,0.364,0.783,18.7,8,3.4,4.6,0.6,0.9,West 1stRd_15
9,Tiago Splitter,30,7,7,123,9,24,0,0,6,19,13,18,31,9,4,1,7,17,24,0.375,,0.316,17.6,3.4,4.4,1.3,0.6,0.1,West 1stRd_15
10,Cory Joseph,23,4,0,22,5,6,0,0,1,2,0,1,1,0,0,1,1,2,11,0.833,,0.5,5.4,2.8,0.3,0,0,0.3,West 1stRd_15
11,Aron Baynes,28,4,0,40,3,10,0,0,3,3,3,7,10,1,0,0,3,9,9,0.3,,1,10,2.3,2.5,0.3,0,0,West 1stRd_15
12,Matt Bonner,34,7,0,36,2,10,2,9,0,0,0,6,6,1,0,1,1,8,6,0.2,0.222,,5.2,0.9,0.9,0.1,0,0.1,West 1stRd_15
13,Jeff Ayres,27,3,0,12,0,1,0,0,0,0,0,3,3,2,0,0,0,0,0,0,,,4,0,1,0.7,0,0,West 1stRd_15
